condition,role,sent_idx,source_sentence,o_start,o_end,error_type,correction,required
baseline,gold,381,On my opinion sometimes stars ' behaviour is very suprising .,3,3,M:PUNCT,",",REQUIRED
baseline,gold,381,On my opinion sometimes stars ' behaviour is very suprising .,9,10,R:SPELL,surprising,REQUIRED
baseline,gold,382,"Since I used to work as a secretarian I feel capable of organizing sports and evening activities , if you choose to let me do so .",7,8,R:SPELL,secretary,REQUIRED
baseline,gold,382,"Since I used to work as a secretarian I feel capable of organizing sports and evening activities , if you choose to let me do so .",8,8,M:PUNCT,",",REQUIRED
baseline,gold,384,"Besides , it destroys the marine ecosystem in such a way that the seabird or fish are fed on plastic .",13,14,R:NOUN:NUM,seabirds,REQUIRED
baseline,gold,384,"Besides , it destroys the marine ecosystem in such a way that the seabird or fish are fed on plastic .",17,18,R:VERB:FORM,feeding,REQUIRED
baseline,gold,385,"On the one hand , I like to have things typical in each country , apart from they are delicious , because when you 've got the opportunity to travel , you can go and experience with the food too .",10,10,M:OTHER,that are,REQUIRED
baseline,gold,385,"On the one hand , I like to have things typical in each country , apart from they are delicious , because when you 've got the opportunity to travel , you can go and experience with the food too .",17,17,M:OTHER,the fact that,REQUIRED
baseline,gold,385,"On the one hand , I like to have things typical in each country , apart from they are delicious , because when you 've got the opportunity to travel , you can go and experience with the food too .",36,37,U:PREP,,REQUIRED
baseline,gold,386,"The scenery , the beauty of mountain and river , can only be enjoyed when you travel there on youe own .",6,6,M:DET,a,REQUIRED
baseline,gold,387,I took a part - time employment with the local housing company .,6,7,R:NOUN,job,REQUIRED
baseline,gold,388,I spent two years in translation hundreds of assays in different fields for higher education students .,4,5,U:PREP,,REQUIRED
baseline,gold,388,I spent two years in translation hundreds of assays in different fields for higher education students .,5,6,R:MORPH,translating,REQUIRED
baseline,gold,388,I spent two years in translation hundreds of assays in different fields for higher education students .,8,9,R:NOUN,essays,REQUIRED
baseline,gold,389,The teacher use lesson time effectively .,2,3,R:VERB:SVA,uses,REQUIRED
baseline,gold,391,The worst part of story was when he told me that he was going to have a lunch with his friends .,4,4,M:DET,the,REQUIRED
baseline,gold,391,The worst part of story was when he told me that he was going to have a lunch with his friends .,16,17,U:DET,,REQUIRED
baseline,gold,392,Attention of the radio commercial is low .,1,2,R:PREP,to,REQUIRED
baseline,gold,392,Attention of the radio commercial is low .,2,3,U:DET,,REQUIRED
baseline,gold,392,Attention of the radio commercial is low .,4,5,R:NOUN:NUM,commercials,REQUIRED
baseline,gold,393,"This is easy word to understand , but it hides more than defination says .",2,2,M:DET,an,REQUIRED
baseline,gold,393,"This is easy word to understand , but it hides more than defination says .",12,12,M:DET,the,REQUIRED
baseline,gold,393,"This is easy word to understand , but it hides more than defination says .",12,13,R:SPELL,definition,REQUIRED
baseline,gold,394,World cup has been the world famous festival .,0,0,M:DET,The,REQUIRED
baseline,gold,394,World cup has been the world famous festival .,1,2,R:ORTH,Cup,REQUIRED
baseline,gold,394,World cup has been the world famous festival .,2,4,R:VERB:TENSE,is,REQUIRED
baseline,gold,394,World cup has been the world famous festival .,4,5,R:DET,a,REQUIRED
baseline,gold,397,"I think that 's the only negatieve point from today 's television , because maybe there 's too much choice !",6,7,R:SPELL,negative,REQUIRED
baseline,gold,397,"I think that 's the only negatieve point from today 's television , because maybe there 's too much choice !",8,9,R:PREP,about,REQUIRED
baseline,gold,398,"Famous people should realize that if they try to gain famous all the time and waste their time on it , they will not have their own private life .",10,11,R:MORPH,fame,REQUIRED
baseline,gold,399,"Different kinds of sashimi are offered - of mackerel , sea bass , octopus , butter fish .",7,8,U:PREP,,REQUIRED
baseline,gold,400,Anyway I have to find a bird to develop myself and take a rest .,1,1,M:PUNCT,",",REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",1,2,U:DET,,REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",5,6,U:PREP,,REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",12,13,R:DET,their,REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",13,14,R:NOUN:NUM,parents,REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",23,23,M:PUNCT,",",REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",28,29,R:MORPH,survive,REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",29,30,R:PUNCT,?,REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",32,32,M:PUNCT,",",REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",39,40,R:OTHER,look after,REQUIRED
baseline,gold,402,"In the Taiwan , many of people have to take care of them parent when they get old , but the point is what if you can not survival , I mean you do n't have enough money to raise you parent .",40,41,R:DET,your,REQUIRED
baseline,gold,403,"However , in its present form , the tribal Jirga especially in Sindh province has generated heated debate about its legal position as well as conflict of its rules and codes with the constitution of Pakistan , law of the land or formal justice system as well as international human rights standards and conventions .",10,10,M:PUNCT,",",REQUIRED
baseline,gold,403,"However , in its present form , the tribal Jirga especially in Sindh province has generated heated debate about its legal position as well as conflict of its rules and codes with the constitution of Pakistan , law of the land or formal justice system as well as international human rights standards and conventions .",14,14,M:PUNCT,",",REQUIRED
baseline,gold,405,"Probably , I 'm afraid of planes because the media use to show plane accidents more often .",7,7,M:PUNCT,",",REQUIRED
baseline,gold,405,"Probably , I 'm afraid of planes because the media use to show plane accidents more often .",10,12,R:OTHER,usually,REQUIRED
baseline,gold,407,Thank you once again that we were allowed to give our suggestions for you wonderful place .,4,7,R:OTHER,for,REQUIRED
baseline,gold,407,Thank you once again that we were allowed to give our suggestions for you wonderful place .,7,8,R:OTHER,allowing us,REQUIRED
baseline,gold,407,Thank you once again that we were allowed to give our suggestions for you wonderful place .,13,14,R:DET,your,REQUIRED
baseline,gold,409,And you can never really say a teacher in the mountain is miserable unless you have experienced being one .,10,11,R:NOUN:NUM,mountains,REQUIRED
baseline,gold,414,She picked me up to her house .,4,4,M:OTHER,and took me,REQUIRED
baseline,gold,415,"On observation they are getting some help from their neighbors , however they are having problem keeping up their household routine .",2,2,M:PUNCT,",",REQUIRED
baseline,gold,415,"On observation they are getting some help from their neighbors , however they are having problem keeping up their household routine .",10,10,M:PUNCT,.,REQUIRED
baseline,gold,415,"On observation they are getting some help from their neighbors , however they are having problem keeping up their household routine .",10,12,R:WO,"However ,",REQUIRED
baseline,gold,415,"On observation they are getting some help from their neighbors , however they are having problem keeping up their household routine .",15,16,R:NOUN:NUM,problems,REQUIRED
baseline,gold,417,A couple years ago I have spent a couple weeks in Bright with Ef .,2,2,M:PREP,of,REQUIRED
baseline,gold,417,A couple years ago I have spent a couple weeks in Bright with Ef .,4,4,M:PUNCT,",",REQUIRED
baseline,gold,417,A couple years ago I have spent a couple weeks in Bright with Ef .,5,6,U:VERB:TENSE,,REQUIRED
baseline,gold,417,A couple years ago I have spent a couple weeks in Bright with Ef .,9,9,M:PREP,of,REQUIRED
baseline,gold,419,Sam was visited but beside the scary he had only some bruises .,6,7,R:OTHER,"shock ,",REQUIRED
baseline,gold,419,Sam was visited but beside the scary he had only some bruises .,8,10,R:WO,only had,REQUIRED
baseline,gold,420,For these reasons I consider that could be a good option doing any sport that you like or you may be interested in .,3,3,M:PUNCT,",",REQUIRED
baseline,gold,420,For these reasons I consider that could be a good option doing any sport that you like or you may be interested in .,6,11,U:OTHER,,REQUIRED
baseline,gold,420,For these reasons I consider that could be a good option doing any sport that you like or you may be interested in .,23,23,M:OTHER,could be a good option,REQUIRED
baseline,gold,421,"Once finished my training , I go home , take a shower and ... I feel like a new woman ! !",1,1,M:OTHER,I 've,REQUIRED
baseline,gold,422,"Besides , we have to watch if the band have everything that they need : something to eat and to drink , I was responsible for it .",3,4,R:VERB:TENSE,had,REQUIRED
baseline,gold,422,"Besides , we have to watch if the band have everything that they need : something to eat and to drink , I was responsible for it .",5,6,R:VERB,see,REQUIRED
baseline,gold,422,"Besides , we have to watch if the band have everything that they need : something to eat and to drink , I was responsible for it .",9,10,R:VERB:TENSE,had,REQUIRED
baseline,gold,422,"Besides , we have to watch if the band have everything that they need : something to eat and to drink , I was responsible for it .",13,14,R:VERB:TENSE,needed,REQUIRED
baseline,gold,422,"Besides , we have to watch if the band have everything that they need : something to eat and to drink , I was responsible for it .",21,22,R:PUNCT,.,REQUIRED
baseline,gold,422,"Besides , we have to watch if the band have everything that they need : something to eat and to drink , I was responsible for it .",26,27,R:PRON,that,REQUIRED
baseline,gold,423,See you my Nigga ¡,4,5,R:OTHER,!,REQUIRED
baseline,gold,424,"For example , 53% of the female students are on - line more than 3 hours a day .",9,12,R:OTHER,online,REQUIRED
baseline,gold,424,"For example , 53% of the female students are on - line more than 3 hours a day .",12,12,M:PREP,for,REQUIRED
baseline,gold,425,The town is not to big but still not to small .,4,5,R:SPELL,too,REQUIRED
baseline,gold,425,The town is not to big but still not to small .,9,10,R:SPELL,too,REQUIRED
baseline,gold,426,- One for the waste that can not be recycled .,3,4,U:DET,,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",3,6,R:OTHER,",",REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",8,10,U:OTHER,,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",17,17,M:OTHER,in the future,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",25,26,R:VERB:SVA,do,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",35,35,M:PUNCT,",",REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",44,44,M:VERB:TENSE,will,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",47,47,M:DET,a,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",54,56,U:OTHER,,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",57,58,R:OTHER,more than,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",58,59,R:NOUN:NUM,buses,REQUIRED
baseline,gold,427,"In my opinion I think that public transport in future is going to continue to be used because there are a lot of people that does n't have enough money to pay for a car even if it is used , so public transport continue to have future but people are going to use more the cars then bus or underground .",60,60,M:DET,the,REQUIRED
baseline,gold,430,There are though a problem with jobs .,1,3,R:OTHER,is,REQUIRED
baseline,gold,430,There are though a problem with jobs .,7,7,M:OTHER,", though",REQUIRED
baseline,gold,431,Two days before Peter received a letter of someone saying to meet her / him in the treehouse at 5 o'clock .,3,3,M:PUNCT,",",REQUIRED
baseline,gold,431,Two days before Peter received a letter of someone saying to meet her / him in the treehouse at 5 o'clock .,7,8,R:PREP,from,REQUIRED
baseline,gold,432,"Michael was confused , he did n't know why he had dreamed that , he thought it would be better to forget about it so he stopped thinking about his dream .",13,15,R:PUNCT,. He,REQUIRED
baseline,gold,432,"Michael was confused , he did n't know why he had dreamed that , he thought it would be better to forget about it so he stopped thinking about his dream .",24,24,M:PUNCT,",",REQUIRED
baseline,gold,433,She also told me that a great Mexican restaurant was just opened with lower prices and good service .,9,10,R:VERB:TENSE,had,REQUIRED
baseline,gold,436,Dear Peter .,2,3,R:PUNCT,",",REQUIRED
baseline,gold,437,"Otherwise , the place would turn into a mess , especially the crowded places .",11,12,U:DET,,REQUIRED
baseline,gold,439,In fact .,2,3,R:PUNCT,",",REQUIRED
baseline,gold,440,For this reason people is becoming acure of the terrible problem and is learning and teaching vial culture to new generations .,3,3,M:PUNCT,",",REQUIRED
baseline,gold,440,For this reason people is becoming acure of the terrible problem and is learning and teaching vial culture to new generations .,4,5,R:VERB:SVA,are,REQUIRED
baseline,gold,440,For this reason people is becoming acure of the terrible problem and is learning and teaching vial culture to new generations .,6,7,R:SPELL,aware,REQUIRED
baseline,gold,440,For this reason people is becoming acure of the terrible problem and is learning and teaching vial culture to new generations .,12,13,R:VERB:SVA,are,REQUIRED
baseline,gold,442,They prefer classes with lecture and almost no discussion .,4,5,R:NOUN:NUM,lectures,REQUIRED
baseline,gold,444,"But if you are beginner , it 's better for you to attend regular yoga classes .",4,4,M:DET,a,REQUIRED
baseline,gold,445,"In addition , could you provide me information about the nearest airport and about the way to get to your hotel from there ? We must know this for any case since we are going to travel by plane from Budapest , Hungary . I would be pleased if you could assist me in booking a cheap flight as well .",7,7,M:PREP,with,REQUIRED
baseline,gold,447,"In my opinion , being included in the fresh TV news is a huge contribution , great opportunity to introduce yourself in the way you like it .",8,9,R:ADJ,latest,REQUIRED
baseline,gold,447,"In my opinion , being included in the fresh TV news is a huge contribution , great opportunity to introduce yourself in the way you like it .",16,16,M:DET,a,REQUIRED
baseline,gold,447,"In my opinion , being included in the fresh TV news is a huge contribution , great opportunity to introduce yourself in the way you like it .",26,27,U:PRON,,REQUIRED
baseline,gold,448,my parents name is Susanna and Peder .,0,1,R:ORTH,My,REQUIRED
baseline,gold,448,my parents name is Susanna and Peder .,2,2,M:NOUN:POSS,',REQUIRED
baseline,gold,448,my parents name is Susanna and Peder .,2,3,R:NOUN:NUM,names,REQUIRED
baseline,gold,448,my parents name is Susanna and Peder .,3,4,R:VERB:SVA,are,REQUIRED
baseline,gold,450,Why should I took at this job ?,3,5,R:OTHER,get,REQUIRED
baseline,gold,451,I am happy to say that I have only positive points to presente due to how wellcome I fell when I arrive at the reception .,12,13,R:SPELL,present,REQUIRED
baseline,gold,451,I am happy to say that I have only positive points to presente due to how wellcome I fell when I arrive at the reception .,16,17,R:SPELL,welcome,REQUIRED
baseline,gold,451,I am happy to say that I have only positive points to presente due to how wellcome I fell when I arrive at the reception .,18,19,R:VERB,feel,REQUIRED
baseline,gold,453,"They had a lot of things in common , they liked the same kind of music , the same kind of food and they both liked to read about fantasies and comics .",28,29,U:PREP,,REQUIRED
baseline,gold,454,"We have a lot of bins around the area , so now we can throw our litters whenever we are .",16,17,R:NOUN:NUM,litter,REQUIRED
baseline,gold,454,"We have a lot of bins around the area , so now we can throw our litters whenever we are .",17,17,M:ADV,away,REQUIRED
baseline,gold,454,"We have a lot of bins around the area , so now we can throw our litters whenever we are .",17,18,R:ADV,wherever,REQUIRED
baseline,gold,455,WHY TENNIS,2,2,M:PUNCT,?,REQUIRED
baseline,gold,457,"To the best of my knowledge , it is a way of behaving more than a way coping with the latest technologies .",17,17,M:PREP,of,REQUIRED
baseline,gold,462,they prefer to be comfortable .,0,1,R:ORTH,They,REQUIRED
baseline,gold,465,The advice that I would give the people that would like to start playing this sport is that they should have a bit of experience in working in a team that is full of new people .,6,7,U:DET,,REQUIRED
baseline,gold,465,The advice that I would give the people that would like to start playing this sport is that they should have a bit of experience in working in a team that is full of new people .,25,26,R:PREP,of,REQUIRED
baseline,gold,466,"People got attracted towards her quite easily and often , they would find themselves adoring and admiring her .",1,2,R:VERB:TENSE,were,REQUIRED
baseline,gold,466,"People got attracted towards her quite easily and often , they would find themselves adoring and admiring her .",3,4,R:PREP,to,REQUIRED
baseline,gold,466,"People got attracted towards her quite easily and often , they would find themselves adoring and admiring her .",7,7,M:PUNCT,",",REQUIRED
baseline,gold,469,And if the ecology is important for you just think about the pollution .,3,4,R:NOUN,environment,REQUIRED
baseline,gold,469,And if the ecology is important for you just think about the pollution .,6,7,R:PREP,to,REQUIRED
baseline,gold,469,And if the ecology is important for you just think about the pollution .,8,8,M:PUNCT,",",REQUIRED
baseline,gold,470,"Now I 'm working in voluntary works , like translation , editing in Wikipedia & others",6,7,R:NOUN,positions,REQUIRED
baseline,gold,470,"Now I 'm working in voluntary works , like translation , editing in Wikipedia & others",16,16,M:PUNCT,.,REQUIRED
baseline,gold,471,"I can imagine how difficult it can be , although calm down you will find out different things to do and make friends as soon as possible .",9,10,R:OTHER,but,REQUIRED
baseline,gold,471,"I can imagine how difficult it can be , although calm down you will find out different things to do and make friends as soon as possible .",12,12,M:PUNCT,",",REQUIRED
baseline,gold,471,"I can imagine how difficult it can be , although calm down you will find out different things to do and make friends as soon as possible .",15,16,U:PART,,REQUIRED
baseline,gold,471,"I can imagine how difficult it can be , although calm down you will find out different things to do and make friends as soon as possible .",23,24,U:ADV,,REQUIRED
baseline,gold,471,"I can imagine how difficult it can be , although calm down you will find out different things to do and make friends as soon as possible .",25,27,U:OTHER,,REQUIRED
baseline,gold,472,Everyone use public transport every day .,1,2,R:VERB:SVA,uses,REQUIRED
baseline,gold,475,"First , the scene that described the murder makes readers ca n't help themselves emerging the images in their mind .",10,11,R:VERB:TENSE,unable,REQUIRED
baseline,gold,475,"First , the scene that described the murder makes readers ca n't help themselves emerging the images in their mind .",11,12,R:OTHER,to,REQUIRED
baseline,gold,475,"First , the scene that described the murder makes readers ca n't help themselves emerging the images in their mind .",12,13,R:VERB,stop,REQUIRED
baseline,gold,475,"First , the scene that described the murder makes readers ca n't help themselves emerging the images in their mind .",14,15,R:VERB,imagining,REQUIRED
baseline,gold,475,"First , the scene that described the murder makes readers ca n't help themselves emerging the images in their mind .",19,20,R:NOUN:NUM,minds,REQUIRED
baseline,gold,476,"A lot of effort has been put into reducing the fumes , etc .",10,10,M:NOUN,exhaust,REQUIRED
baseline,gold,477,At this press conference Inocencio assured that next year he will try to prove if pigeons truly represent the Holy Spirit .,4,4,M:PUNCT,",",REQUIRED
baseline,gold,479,"Even though I was in a romantic city , I could n't enjoy my vacation in a romantic way due to the low budgets we had .",23,24,R:NOUN:NUM,budget,REQUIRED
baseline,gold,480,"Every day scientists try to develop new ways to improve the way we live , so that we are hable to pollute less the planet .",2,2,M:PUNCT,",",REQUIRED
baseline,gold,480,"Every day scientists try to develop new ways to improve the way we live , so that we are hable to pollute less the planet .",19,20,R:SPELL,able,REQUIRED
baseline,gold,480,"Every day scientists try to develop new ways to improve the way we live , so that we are hable to pollute less the planet .",22,25,R:WO,the planet less,REQUIRED
baseline,gold,483,"When we were in our childhood , we used to deal with public transport for going one place to another because that was only a cheaper option available .",3,6,R:OTHER,children,REQUIRED
baseline,gold,483,"When we were in our childhood , we used to deal with public transport for going one place to another because that was only a cheaper option available .",10,12,R:OTHER,use,REQUIRED
baseline,gold,483,"When we were in our childhood , we used to deal with public transport for going one place to another because that was only a cheaper option available .",16,16,M:PREP,from,REQUIRED
baseline,gold,483,"When we were in our childhood , we used to deal with public transport for going one place to another because that was only a cheaper option available .",23,23,M:DET,the,REQUIRED
baseline,gold,483,"When we were in our childhood , we used to deal with public transport for going one place to another because that was only a cheaper option available .",24,25,U:DET,,REQUIRED
baseline,gold,483,"When we were in our childhood , we used to deal with public transport for going one place to another because that was only a cheaper option available .",25,26,R:ADJ:FORM,cheap,REQUIRED
baseline,gold,485,Most of the people I know do n't know what you are doing if you are training slalom .,1,3,U:OTHER,,REQUIRED
baseline,gold,485,Most of the people I know do n't know what you are doing if you are training slalom .,16,17,R:VERB,doing,REQUIRED
baseline,gold,486,They assured Anna that she will be granted success due to her knowledge and diligence .,5,6,R:VERB:TENSE,would,REQUIRED
baseline,gold,487,"My name is Stela , I am 36 years old and my English is very good .",4,5,R:PUNCT,.,REQUIRED
baseline,gold,491,But how to get a love when you are invisible ?,3,4,R:VERB,find,REQUIRED
baseline,gold,491,But how to get a love when you are invisible ?,4,5,U:DET,,REQUIRED
baseline,gold,492,"Hundreds gather there , parking spaces are full , again facing longest queues in stores - how much unpleasant is souds , it is the reality of nowadays .",11,12,R:ADJ:FORM,long,REQUIRED
baseline,gold,492,"Hundreds gather there , parking spaces are full , again facing longest queues in stores - how much unpleasant is souds , it is the reality of nowadays .",16,16,M:ADV,no matter,REQUIRED
baseline,gold,492,"Hundreds gather there , parking spaces are full , again facing longest queues in stores - how much unpleasant is souds , it is the reality of nowadays .",17,18,U:ADJ,,REQUIRED
baseline,gold,492,"Hundreds gather there , parking spaces are full , again facing longest queues in stores - how much unpleasant is souds , it is the reality of nowadays .",19,20,R:SPELL,it,REQUIRED
baseline,gold,492,"Hundreds gather there , parking spaces are full , again facing longest queues in stores - how much unpleasant is souds , it is the reality of nowadays .",20,21,R:SPELL,sounds,REQUIRED
baseline,gold,492,"Hundreds gather there , parking spaces are full , again facing longest queues in stores - how much unpleasant is souds , it is the reality of nowadays .",26,27,U:PREP,,REQUIRED
baseline,gold,493,Like we all know technology is making the best of it .,0,1,R:PREP,As,REQUIRED
baseline,gold,493,Like we all know technology is making the best of it .,4,4,M:PUNCT,",",REQUIRED
baseline,gold,493,Like we all know technology is making the best of it .,7,8,R:OTHER,life,REQUIRED
baseline,gold,493,Like we all know technology is making the best of it .,8,11,R:OTHER,better,REQUIRED
baseline,gold,494,I did not care to time I usually said this is my life and my time .,4,5,R:PREP,about,REQUIRED
baseline,gold,494,I did not care to time I usually said this is my life and my time .,6,6,M:PUNCT,.,REQUIRED
baseline,gold,494,I did not care to time I usually said this is my life and my time .,7,8,R:MORPH,used,REQUIRED
baseline,gold,494,I did not care to time I usually said this is my life and my time .,8,9,R:VERB:FORM,to say,REQUIRED
baseline,gold,494,I did not care to time I usually said this is my life and my time .,9,9,M:PUNCT,",",REQUIRED
baseline,gold,495,"On short distances , maybe one or two hundred miles , a car is ideal .",0,1,R:PREP,For,REQUIRED
baseline,gold,496,The Colosseum is a quite tall structure .,3,5,R:WO,quite a,REQUIRED
baseline,gold,497,"I am very familiar with the tasks and rules that need to be respected in a summer camp , as I have been one in a previous summer camp within St John Ambulance .",29,30,R:PREP,with,REQUIRED
baseline,gold,497,"I am very familiar with the tasks and rules that need to be respected in a summer camp , as I have been one in a previous summer camp within St John Ambulance .",30,30,M:DET,the,REQUIRED
baseline,gold,497,"I am very familiar with the tasks and rules that need to be respected in a summer camp , as I have been one in a previous summer camp within St John Ambulance .",32,32,M:NOUN:POSS,'s,REQUIRED
fewshot,system,0,Hi my friend !,0,1,R:OTHER,"Hi,",REQUIRED
fewshot,system,0,Hi my friend !,2,4,R:ORTH,friend!,REQUIRED
fewshot,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",1,3,R:ORTH,"example,",REQUIRED
fewshot,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",8,8,M:DET,a,REQUIRED
fewshot,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",9,10,R:NOUN,"dustbin,",REQUIRED
fewshot,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",11,12,U:PUNCT,,REQUIRED
fewshot,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",15,16,U:PUNCT,,REQUIRED
fewshot,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",19,19,M:DET,a,REQUIRED
fewshot,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",20,22,R:ORTH,container.,REQUIRED
fewshot,system,2,There are numerous stores and restaurants which have junk food built everywhere .,6,7,R:DET,that,REQUIRED
fewshot,system,2,There are numerous stores and restaurants which have junk food built everywhere .,11,13,R:ORTH,everywhere.,REQUIRED
fewshot,system,3,"First of all , soccer is more active than other sports .",2,4,R:ORTH,"all,",REQUIRED
fewshot,system,3,"First of all , soccer is more active than other sports .",10,12,R:ORTH,sports.,REQUIRED
fewshot,system,4,It is exactly the same for driving cars .,7,9,R:ORTH,cars.,REQUIRED
fewshot,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",0,2,R:ORTH,"Maybe,",REQUIRED
fewshot,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",14,16,R:OTHER,"easily,",REQUIRED
fewshot,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",17,18,R:VERB:FORM,going,REQUIRED
fewshot,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",19,21,R:ORTH,Europe.,REQUIRED
fewshot,system,6,It to belong to the oldest and the biggest museums in eastern Poland .,1,3,R:VERB:FORM,belongs,REQUIRED
fewshot,system,6,It to belong to the oldest and the biggest museums in eastern Poland .,12,14,R:ORTH,Poland.,REQUIRED
fewshot,system,7,People currently seldom listen to the radio .,6,8,R:ORTH,radio.,REQUIRED
fewshot,system,8,"On the other hand , there are some arguments for sport specially volleyball .",3,5,R:ORTH,"hand,",REQUIRED
fewshot,system,8,"On the other hand , there are some arguments for sport specially volleyball .",10,11,R:NOUN,"sports,",REQUIRED
fewshot,system,8,"On the other hand , there are some arguments for sport specially volleyball .",11,12,R:ADV,especially,REQUIRED
fewshot,system,8,"On the other hand , there are some arguments for sport specially volleyball .",12,14,R:ORTH,volleyball.,REQUIRED
fewshot,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",4,4,M:VERB:TENSE,are,REQUIRED
fewshot,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",5,7,R:OTHER,"rapidly,",REQUIRED
fewshot,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",14,15,R:SPELL,environment,REQUIRED
fewshot,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",16,17,R:SPELL,severely,REQUIRED
fewshot,system,9,"Though the modern cities emerging repaidly , the problems caused by excessively exploiting the enviorment are severly various .",17,19,R:ORTH,various.,REQUIRED
fewshot,system,10,Almost every family have a car now .,3,4,R:VERB:SVA,has,REQUIRED
fewshot,system,10,Almost every family have a car now .,6,8,R:ORTH,now.,REQUIRED
fewshot,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",4,6,R:ORTH,"Phelps,",REQUIRED
fewshot,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",7,9,R:ORTH,"Lochte,",REQUIRED
fewshot,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",12,13,R:SPELL,"Hoogenband,",REQUIRED
fewshot,system,11,"Some swimmers are Michael Phelps , Ryan Lochte , Peter Van de Hoogenband and others .",14,16,R:ORTH,others.,REQUIRED
